Node Number	X Location (mm)	Y Location (mm)	Z Location (mm)	
1	6.1232e-017	1.	7.4988e-033	
2	6.1232e-017	-1.	7.4988e-033	
3	0.3429	0.93937	4.1993e-017	
4	0.3429	-0.93937	4.1993e-017	
5	0.68602	0.72753	-8.572e-003	
6	0.89841	0.43881	-1.738e-002	
7	0.99256	0.12178	1.2155e-016	
8	0.97034	-0.24174	1.1883e-016	
9	0.81942	-0.57319	1.0035e-016	
10	0.59467	-0.80087	-7.0535e-002	
11	0.17145	0.93937	0.29696	
12	-0.15087	0.95207	0.26609	
13	-0.33759	0.94073	3.2506e-002	
14	-0.20148	0.94088	-0.27231	
15	0.17073	0.92759	-0.33231	
16	0.17244	-0.92627	0.3351	
17	-0.14394	-0.94695	0.28733	
18	-0.37943	-0.92519	-7.1281e-003	
19	-0.13812	-0.93749	-0.31945	
20	0.16747	-0.9486	-0.26853	
21	-2.8328e-016	0.	1.	
22	-2.7969e-002	-1.1716e-002	-0.99954	
23	-0.99964	2.6724e-002	-1.4665e-003	
24	-0.69736	-4.0887e-002	-0.71556	
25	-0.67475	1.1961e-002	0.73795	
26	0.70579	6.1002e-002	0.70579	
27	-0.8002	0.48463	0.35328	
28	-0.65313	-0.72576	0.21609	
29	-0.67978	0.70985	-0.18443	
30	0.40227	-0.71282	0.57451	
31	0.60016	-0.35811	-0.71524	
32	-0.20677	-0.74519	-0.63398	
33	-0.20251	0.7171	-0.6669	
34	0.2041	0.7319	0.65013	
35	-0.15947	-0.39579	0.90439	
36	5.3727e-002	0.54389	-0.83744	
37	-0.11358	0.61026	0.78402	
38	-0.83221	-0.30294	-0.46438	
39	0.38531	0.74077	-0.55028	
40	0.65193	0.58654	0.48058	
41	-0.60911	-0.72695	-0.31708	
42	-0.57335	-0.58551	0.5731	
43	0.72451	-0.54779	0.41836	
44	0.11023	-0.60005	-0.79233	
45	-0.88306	-0.30413	0.35738	
46	0.27735	-0.38643	0.87963	
47	-0.37194	0.23396	-0.89829	
48	-0.66027	0.50581	-0.55515	
49	0.69321	-0.62054	-0.36658	
50	-0.43106	0.34643	0.83317	
51	-0.53166	-0.31301	-0.78699	
52	-0.63932	0.75347	0.15343	
53	-0.48018	0.67874	0.55564	
54	-0.8998	0.27042	-0.3424	
55	0.15947	0.39579	0.90439	
56	0.37696	0.30694	-0.87389	
57	0.88925	0.27124	-0.36834	
58	-0.26983	-0.67316	0.68851	
59	-0.94137	0.32635	8.5608e-002	
60	0.87021	-0.31407	-0.3796	
61	0.93198	-6.0511e-002	0.35743	
62	-0.95545	-0.2667	-0.12644	
63	0.38251	3.0515e-002	0.92345	
64	-0.38268	0.	0.92388	
65	0.43199	-0.63451	-0.64092	
66	0.84264	0.27613	0.46229	
67	0.3363	-0.1821	-0.92398	
68	0.68947	0.24893	-0.68019	
69	0.66305	0.52647	-0.53216	
70	-0.89084	5.0845e-002	0.45146	
71	0.45464	0.53847	0.70947	
72	0.5766	-0.44197	0.68716	
73	-0.42033	-7.2602e-002	-0.90446	
74	-0.50624	-0.33065	0.79648	
75	-0.25569	-0.23379	-0.93806	
76	0.15445	-0.82209	-0.54801	
77	9.0592e-002	-0.71992	0.68812	
78	-0.47499	0.74458	-0.46903	
79	0.43035	-0.82729	-0.36111	
80	-0.80978	-0.5416	-0.22565	
81	0.11168	0.75026	-0.65165	
82	0.56289	0.76775	-0.30612	
83	0.55431	-0.79192	0.25612	
84	0.42296	0.76149	0.49116	
85	-0.37204	-0.8266	0.42228	
86	-0.12017	0.84957	0.51361	
87	-0.27171	-0.48701	-0.83006	
88	6.4445e-002	-0.32304	-0.94419	
89	0.96902	-6.1467e-002	-0.23923	
90	0.79995	0.5335	-0.27468	
91	-0.57818	-0.59663	-0.55654	
92	-0.15691	0.29915	0.94122	
93	0.87662	-1.5259e-002	-0.48093	
94	0.77621	-0.27124	0.56914	
95	-0.38359	0.86481	0.32398	
96	-0.86024	-0.4988	0.1058	
97	0.54107	-0.21224	0.81376	
98	-0.49447	0.85404	-0.16159	
99	1.3972e-002	0.27776	-0.96055	
100	-0.74778	-0.29377	0.59542	
101	-0.68806	0.33397	0.64424	
102	-0.83043	0.55238	-7.2483e-002	
103	-0.70027	0.27042	-0.66067	
104	-0.92107	1.2717e-003	-0.38939	
105	0.40949	0.54224	-0.73369	
106	-0.10339	-0.84802	0.51978	
107	-0.75395	0.56205	-0.34009	
108	0.80309	0.53938	0.25321	
109	-0.33646	0.51503	-0.78838	
110	0.4744	0.28851	0.83169	
111	0.54989	0.79482	0.25668	
112	-0.78149	-0.51127	0.35761	
113	-0.1017	0.85337	-0.51129	
114	0.65836	0.37635	0.65186	
115	0.89677	-0.36084	0.25612	
116	0.94321	0.23738	0.23241	
117	0.35052	-0.44291	-0.82521	
118	-0.68261	-0.72695	-7.4758e-002	
119	-0.3797	-0.85071	-0.36349	
120	-0.96412	-0.20361	0.17036	
121	0.75409	-0.11735	-0.64621	
122	0.2921	7.1402e-002	-0.95372	
123	0.54101	-2.8351e-002	-0.84054	
